reviewText,polarity,warning_flag
Excellent value! Works exactly as described. Fast delivery.,1,0
Broke after a week. False advertising. refund immediately.,0,1
Love it! Exceeded expectations. Will definitely buy again.,1,0
Don't waste your money. Arrived damaged. Had to return.,0,1
Love it! Fast delivery. Will definitely buy again.,1,0
Fantastic! Fast delivery. Worth every penny.,1,0
Terrible quality. False advertising. Not happy with this product!,0,0
Exactly what I needed. Fast delivery. Fast shipping too!,1,0
This product is great! Very durable. Highly recommend.,1,0
Don't waste your money. Very poor construction. Had to refund.,0,1
Awful experience. Broke immediately. returned it right away.,0,1
Excellent value! Works exactly as described. Fast delivery.,1,0
Terrible value. Doesn't work as advertised. Avoid this product!,0,1
Terrible item. Doesn't work as advertised. Not happy with this product!,0,0
Excellent item! Works exactly as described. Exceeded expectations.,1,0
Don't waste your money. False advertising. Had to refund.,0,1
perfect product! Exceeded my expectations. Fast delivery.,1,0
Cheaply made. Very poor construction. Don't buy this.,0,1
Great value. Exceeded expectations and good price. Very satisfied.,1,0
Exactly what I needed. Easy to use. Fast shipping too!,1,0
Perfect for my needs. Great quality and solid construction.,1,0
This product is great! Exceeded expectations. Highly recommend.,1,0
Beware! Very poor construction. Complete waste of money.,0,1
Broke after one month. Completely useless. return immediately.,0,1
Excellent quality! Works exactly as described. Looks great.,1,0
Perfect for the office. Great quality and fast shipping.,1,0
Great value. Great build quality and good price. Very satisfied.,1,0
Cheaply made. Doesn't work as advertised. Don't buy this.,0,1
Impressive quality. Exceeded expectations. Highly recommended.,1,0
Awful experience. Stopped working quickly. refund it right away.,0,1
Broke after one day. Completely useless. return immediately.,0,1
This product is amazing! Fast delivery. Highly recommend.,1,0
The value is terrible. Made of cheap materials. I would returned it.,0,1
Total disappointment. Broke immediately. Warning others before buying.,0,1
The quality is disappointing. Stopped working quickly. I would refund it.,0,0
Awful experience. Broke immediately. return it right away.,0,1
Great value. Exceeded expectations and nice design. Very satisfied.,1,0
The purchase is horrible. Doesn't work as advertised. I would return it.,0,1
Broke after one month. Very poor construction. return immediately.,0,1
Beware! Stopped working quickly. Complete waste of money.,0,1
Terrible item. Doesn't work as advertised. Not happy with this product!,0,0
Poor quality. Very poor construction. Very disappointed.,0,1
Poor quality. Very poor construction. Very disappointed.,0,0
Love it! Looks great. Will definitely buy again.,1,0
Impressive quality. Very durable. Highly recommended.,1,0
Awful experience. False advertising. returned it right away.,0,1
Great value. Easy to use and solid construction. Very satisfied.,1,0
Great value. Easy to use and nice design. Very satisfied.,1,0
Great value. Fast delivery and good price. Very satisfied.,1,0
Terrible tool. False advertising. Not happy with this product!,0,0
Excellent quality! Works exactly as described. Exceeded expectations.,1,0
perfect product! Exceeded my expectations. Very durable.,1,0
wonderful product! Exceeded my expectations. Works perfectly.,1,0
Impressive quality. Great build quality. Highly recommended.,1,0
wonderful product! Exceeded my expectations. Works perfectly.,1,0
Perfect for the office. Great quality and good price.,1,0
Total disappointment. Broke immediately. Avoid others before buying.,0,1
Broke after two days. Broke immediately. return immediately.,0,1
Don't waste your money. Broke immediately. Had to refund.,0,1
Broke after two days. Made of cheap materials. refund immediately.,0,1
The device is terrible. Completely useless. I would refund it.,0,0
Impressive quality. Easy to use. Highly recommended.,1,0
Broke after one month. Broke immediately. return immediately.,0,1
The tool is disappointing. Arrived damaged. I would refund it.,0,1
Fantastic! Great build quality. Worth every penny.,1,0
Excellent design! Works exactly as described. Easy to use.,1,0
Great value. Looks great and good price. Very satisfied.,1,0
Impressive quality. Easy to use. Highly recommended.,1,0
Don't waste your money. Made of cheap materials. Had to refund.,0,1
Awful experience. Broke immediately. returned it right away.,0,1
Not as described. Completely useless. Not happy with of this seller.,0,0
Fantastic! Exceeded expectations. Worth every penny.,1,0
Poor quality. Stopped working quickly. Very disappointed.,0,1
Total disappointment. Broke immediately. Don't trust others before buying.,0,1
Impressive quality. Looks great. Highly recommended.,1,0
Best item I've ever purchased. Great build quality. Five stars!,1,0
Impressive quality. Fast delivery. Highly recommended.,1,0
Great value. Fast delivery and nice design. Very satisfied.,1,0
Total disappointment. Doesn't work as advertised. Stay away from others before buying.,0,1
Exactly what I needed. Very durable. Fast shipping too!,1,0
Broke after two days. Arrived damaged. refund immediately.,0,1
Excellent value! Works exactly as described. Looks great.,1,0
Awful experience. Completely useless. return it right away.,0,1
Terrible quality. Arrived damaged. Not happy with this product!,0,0
Great value. Very durable and solid construction. Very satisfied.,1,0
Total disappointment. Completely useless. Beware others before buying.,0,1
Great value. Great build quality and solid construction. Very satisfied.,1,0
Cheaply made. Broke immediately. Don't buy this.,0,1
Great value. Exactly as advertised and solid construction. Very satisfied.,1,0
Exactly what I needed. Works perfectly. Fast shipping too!,1,0
Exactly what I needed. Easy to use. Fast shipping too!,1,0
Exactly what I needed. Very durable. Fast shipping too!,1,0
Great value. Looks great and solid construction. Very satisfied.,1,0
Don't trust! Completely useless. Complete waste of money.,0,1
Awful experience. False advertising. return it right away.,0,1
Perfect for daily tasks. Great quality and good price.,1,0
Don't waste your money. Made of cheap materials. Had to return.,0,1
The device is disappointing. Very poor construction. I would returned it.,0,1
Broke after two days. Broke immediately. return immediately.,0,1
The design is terrible. Very poor construction. I would returned it.,0,1
